year,name,photo_url
1979,Philip Johnson,https://via.placeholder.com/150
1980,Luis Barragan,https://via.placeholder.com/150
1981,James Stirling,https://via.placeholder.com/150
1982,Kevin Roche,https://via.placeholder.com/150
